,date,href,intro,title
0,"Sep 30, 2016, 01:36 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/armys-surgical-strike-fear-factor-sends-stocks-rupee-into-a-steep-dive/articleshow/54593882.cms,traders perception of near-term risks in the market increased with the volatility index (vix) soaring 33% the highest in a day in 13 months.,"army's surgical strike: fear factor sends stocks, rupee into a steep dive"
0,"Oct 3, 2016, 08:18 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-glued-to-india-pakistan-events-rbi-policy-action/articleshow/54648891.cms,"markets could react negatively if there is no rate cut on tuesday, said dharmesh kant, head-retail research at motilal oswal financial services.","dalal street glued to india-pakistan events, rbi policy action"
0,"Oct 3, 2016, 08:18 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/dalal-street-glued-to-india-pakistan-events-rbi-policy-action/articleshow/54648891.cms,"markets could react negatively if there is no rate cut on tuesday, said dharmesh kant, head-retail research at motilal oswal financial services.","dalal street glued to india-pakistan events, rbi policy action"
0,"Oct 3, 2016, 08:07 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/with-sips-retail-investors-tap-into-the-equity-payback/articleshow/54648757.cms,"in the past year, sip accounts have increased by 27.1 lakh compared with 75 lakh such accounts registered over the past 30 years, according to the amfi.","with sips, retail investors tap into the equity payback"
0,"Oct 3, 2016, 07:50 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/time-to-tread-with-caution-nifty50-has-immediate-resistance-at-8750-8820/articleshow/54648517.cms,a change in overall market trend and upcoming volatile events like rbi policy and us presidential elections which might give a sudden spike to the market.,"time to tread with caution: nifty50 has immediate resistance at 8,750, 8,820"
0,"Oct 3, 2016, 07:49 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/fifteen-stocks-in-focus-on-monday-3-october-2016/articleshow/54648509.cms,the indian market is expected to open higher. here is a list of top fifteen stocks that are likely to be in focus today.,"fifteen stocks in focus on monday, 3 october 2016"
0,"Sep 30, 2016, 10:39 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/sintex-spurts-7-as-board-decides-to-demerge-biz-list-sintex-plastics-technology/articleshow/54598484.cms,"the transaction is expected to unlock value of shareholders by separating various businesses in different entities, the company said.","sintex spurts 7% as board decides to demerge biz, list sintex plastics technology"
0,"Sep 30, 2016, 09:55 AM IST",http://economictimes.indiatimes.com/markets/stocks/news/sensex-nifty50-start-on-a-flat-note-ipca-labs-hcc-shed-4-each/articleshow/54596051.cms,fears of further escalation in india-pakistan hostilities after indias surgical strike in pak-occupied kashmir may also keep the sentiment low.,"sensex recoups losses; nifty50 reclaims 8,600"
0,"Oct 2, 2016, 03:06 PM IST",http://economictimes.indiatimes.com/markets/stocks/news/top-9-companies-take-rs-57065-crore-hit-in-market-valuation-tcs-bucks-the-trend/articleshow/54640333.cms,"itc's valuation plunged by rs 14,883.32 crore to rs 2,92,281.77 crore. the m-cap of hdfc bank slumped rs 10,117.75 crore to rs 3,23,728.24 crore.","top 9 companies take rs 57,065 crore hit in market valuation; tcs bucks the trend"
0,"Oct 1, 2016, 12:19 PM IST",http://economictimes.indiatimes.com/markets/stocks/news/muthoot-finance-to-raise-rs-500-crore-via-ncds-in-november/articleshow/54623761.cms,"in april this year, the company had raised a similar amount of rs 500 crore through a public issue of ncds. last fiscal, it raised a total of rs 1,239 crore via three public issue of ncds.",muthoot finance to raise rs 500 crore via ncds in november
